Year,Provocation,Activity,Day,Month,Injury,State,Latitude,Longitude,SharkName,SharkLength,InjuryLocation,Gender,Age,IncidentTime,SharkScientific
2005,unprovoked,boarding,7.0,9,injured,NSW,-30.3,153.1333333,wobbegong,1.3408602150537634,foot,male,15.0,,Orectolobidae
2005,unprovoked,boarding,23.0,9,uninjured,WA,-31.88333333,115.75,white shark,3.375,other: uninjured,male,44.0,,Carcharodon carcharias
2005,unprovoked,boarding,25.0,9,injured,SA,-35.08333333,137.5333333,white shark,5.0,"""arm, leg""",male,26.0,,Carcharodon carcharias
2005,unprovoked,boarding,4.0,9,injured,SA,-34.83333333,135.6833333,white shark,3.375,"""arm, leg""",male,40.0,1900-01-01 15:00:00,Carcharodon carcharias
2005,unprovoked,boarding,25.0,11,injured,VIC,-38.46666667,145.0166667,white shark,1.8,calf,male,18.0,1900-01-01 18:15:00,Carcharodon carcharias
2005,unprovoked,diving,12.0,11,uninjured,QLD,-27.18333333,153.4,bronze whaler shark,2.5,other: uninjured,male,57.0,1900-01-01 11:00:00,Carcharhinus brachyurus
2005,provoked,spearfishing,11.0,12,injured,QLD,-16.48333333,145.45,whitetip reef shark,1.5,arm,male,44.0,1900-01-01 10:00:00,Triaenodon obesus
2006,unprovoked,swimming,7.0,1,fatal,QLD,-27.4,153.4333333,bull shark,2.0,"""leg, hand""",female,21.0,1900-01-01 17:10:00,Carcharhinus leucas
2006,provoked,spearfishing,15.0,1,injured,WA,-31.93333333,115.75,white shark,3.3,arm,male,52.0,1900-01-01 11:20:00,Carcharodon carcharias
2006,unprovoked,other: standing in water,13.0,2,injured,QLD,-26.8,153.1333333,wobbegong,1.3408602150537634,foot,male,18.0,1900-01-01 11:00:00,Orectolobidae
2006,unprovoked,boarding,15.0,3,uninjured,NSW,-33.88333333,151.2666667,whaler shark,2.5,other: uninjured,male,,1900-01-01 16:20:00,Carcharhinidae
2006,unprovoked,boarding,11.0,4,injured,NSW,-32.91666667,151.7833333,wobbegong,1.3408602150537634,foot,male,15.0,1900-01-01 13:30:00,Orectolobidae
2006,provoked,diving,2.0,5,injured,QLD,-26.68333333,153.1333333,wobbegong,2.0,torso,male,46.0,1900-01-01 16:30:00,Orectolobidae
2006,provoked,spearfishing,11.0,8,uninjured,NSW,-33.9,151.2666667,white shark,3.0,other: uninjured,male,,,Carcharodon carcharias
2006,unprovoked,boarding,2.0,12,injured,WA,-33.91666667,122.5833333,white shark,5.0,leg,male,15.0,,Carcharodon carcharias
2006,provoked,spearfishing,2.0,12,uninjured,WA,-20.36666667,116.8666667,grey reef shark,1.95,other: uninjured,male,,,Carcharhinus amblyrhynchos
2006,unprovoked,boarding,18.0,12,injured,VIC,-38.36666667,144.2666667,white shark,3.0,leg,male,25.0,1900-01-01 08:00:00,Carcharodon carcharias
2007,unprovoked,boarding,9.0,1,uninjured,NSW,-32.38333333,152.5166667,white shark,2.8,other: uninjured,male,44.0,1900-01-01 06:30:00,Carcharodon carcharias
2007,provoked,diving,23.0,1,injured,NSW,-37.5,149.9666667,white shark,3.0,"""head, torso""",male,41.0,1900-01-01 10:30:00,Carcharodon carcharias
2007,unprovoked,boarding,3.0,2,injured,NSW,-28.83333333,153.6,white shark,2.0,foot,male,26.0,,Carcharodon carcharias
2007,unprovoked,boarding,20.0,3,injured,NSW,-28.53333333,153.55,white shark,1.6,"""arm, hand""",female,42.0,,Carcharodon carcharias
2007,unprovoked,swimming,12.0,3,injured,QLD,-24.71666667,152.2666667,bull shark,2.3,"""leg, foot""",female,59.0,1900-01-01 15:15:00,Carcharhinus leucas
2007,unprovoked,swimming,26.0,4,injured,QLD,-16.55,139.4,unknown species,1.5,foot,female,12.0,1900-01-01 18:30:00,Unknown species
2007,provoked,swimming,16.0,5,injured,WA,-23.13333333,113.7666667,whitetip reef shark,2.5,foot,female,38.0,1900-01-01 14:30:00,Triaenodon obesus
2007,unprovoked,boarding,5.0,6,injured,NSW,-31.18333333,152.9666667,bull shark,2.4013698630136986,"""leg, foot""",male,,1900-01-01 16:30:00,Carcharhinus leucas
2007,unprovoked,diving,14.0,7,injured,NSW,-33.78333333,151.2833333,wobbegong,1.0,thigh,male,30.0,,Orectolobidae
2007,unprovoked,boarding,5.0,7,uninjured,WA,-21.95,114.1166667,white shark,2.8,other: uninjured,male,48.0,1900-01-01 07:45:00,Carcharodon carcharias
2007,provoked,swimming,20.0,7,injured,WA,-12.15,96.81666667,wobbegong,1.5,calf,male,15.0,,Orectolobidae
2007,provoked,spearfishing,13.0,10,injured,QLD,-16.91666667,145.7666667,whaler shark,1.8,calf,male,31.0,1900-01-01 12:00:00,Carcharhinidae
2007,unprovoked,boarding,15.0,10,injured,NSW,-28.63333333,153.6166667,white shark,2.5,"""arm, hand""",female,52.0,1900-01-01 11:30:00,Carcharodon carcharias
2007,unprovoked,boarding,8.0,11,uninjured,NSW,-28.63333333,153.6,white shark,1.8,other: uninjured,male,,1900-01-01 14:20:00,Carcharodon carcharias
2007,unprovoked,boarding,11.0,12,injured,NSW,-33.9495,151.2437,wobbegong,1.3408602150537634,"""leg, foot""",male,14.0,1900-01-01 19:30:00,Orectolobidae
2007,unprovoked,swimming,15.0,12,injured,QLD,-27.93333333,153.4166667,whaler shark,0.6,"""arm, hand""",male,13.0,1900-01-01 12:30:00,Carcharhinidae
2007,unprovoked,boarding,18.0,12,injured,NSW,-32.68333333,152.1833333,white shark,3.375,"""torso, pelvic region""",male,31.0,1900-01-01 11:00:00,Carcharodon carcharias
2008,unprovoked,unmotorised boating,1.0,1,uninjured,TAS,-41,147.1333333,white shark,3.0,other: uninjured,male,,,Carcharodon carcharias
2008,unprovoked,diving,28.0,1,injured,NSW,-28.18333333,153.5666667,wobbegong,1.3,thigh,male,,1900-01-01 10:30:00,Orectolobidae
2008,unprovoked,swimming,29.0,1,injured,WA,-31.98333333,115.5333333,wobbegong,1.0,calf,male,42.0,1900-01-01 11:30:00,Orectolobidae
2008,unprovoked,swimming,18.0,2,injured,VIC,-38.83333333,146.1666667,wobbegong,0.6,foot,female,64.5,1900-01-01 13:30:00,Orectolobidae
2008,unprovoked,other: standing in water,17.0,4,injured,QLD,-28.15,153.5333333,wobbegong,1.3408602150537634,thigh,male,,1900-01-01 11:00:00,Orectolobidae
2008,unprovoked,boarding,8.0,4,fatal,NSW,-28.86666667,153.5666667,bull shark,2.8,"""thigh, calf""",male,16.0,1900-01-01 08:10:00,Carcharhinus leucas
2008,provoked,swimming,16.0,4,injured,WA,-33.63333333,115,wobbegong,0.8,"""calf, thigh, pelvic region""",female,,,Orectolobidae
2008,unprovoked,swimming,10.0,5,injured,WA,-35.01666667,117.9166667,white shark,4.0,calf,male,37.0,1900-01-01 07:30:00,Carcharodon carcharias
2008,unprovoked,boarding,30.0,7,uninjured,VIC,-38.38333333,142.4833333,white shark,3.375,other: uninjured,male,31.0,1900-01-01 10:30:00,Carcharodon carcharias
2008,unprovoked,boarding,30.0,8,uninjured,NSW,-28.63333333,153.6166667,white shark,4.0,other: uninjured,male,30.0,1900-01-01 11:30:00,Carcharodon carcharias
2008,unprovoked,boarding,7.0,9,uninjured,NSW,-28.63333333,153.6166667,white shark,2.8,other: uninjured,male,51.0,,Carcharodon carcharias
2008,unprovoked,boarding,28.0,12,uninjured,NSW,-32.43333333,152.5166667,whaler shark,2.0,other: uninjured,male,10.0,,Carcharhinidae
